OAM,X(A1),X(A2),X(A3),X(A4),X(A5),X(A6),X(A7),X(A8),X(A9),X(A10),X(A11),Becslés,Tény+0,Delta,Delta/Tény
SM045,-165.2,83.6,-550.0,-128.4,0.0,0.4,95.2,201.6,-351.2,-15.6,4.8,-8881713.5,5.0,8881718.5,177634370.0
SM046,-6722.8,83.6,129.2,19.2,0.0,0.4,-183.2,-6480.0,-6316.4,-15.6,4.8,-8900369.2,4.0,8900373.2,222509331.0
SM047,225.6,-1901.2,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8881993.1,5.0,8881998.1,177639962.0
SM048,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879810.0,5.0,8879815.0,177596299.0
SM049,-556.4,83.6,172.8,-128.4,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881285.6,5.0,8881290.6,177625812.0
SM050,-5733.6,83.6,172.8,-2088.8,0.0,0.4,-204.4,-820.4,66.8,-15.6,4.8,-8889423.3,5.0,8889428.3,177788566.0
SM051,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879717.2,5.0,8879722.2,177594444.0
SM052,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881469.6,6.0,8881475.6,148024593.0
SM053,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8882170.1,6.0,8882176.1,148036269.0
SM054,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8879850.4,5.0,8879855.4,177597108.0
SM055,225.6,83.6,129.2,214.0,0.0,-36.8,-183.2,-820.4,254.4,-15.6,4.8,-8881032.9,6.0,8881038.9,148017315.0
SM056,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880424.4,5.0,8880429.4,177608587.0
SM057,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879334.6,5.0,8879339.6,177586792.0
SM058,225.6,83.6,129.2,214.0,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8879894.1,5.0,8879899.1,177597982.0
SM059,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879939.9,5.0,8879944.9,177598899.0
SM060,225.6,83.6,172.8,88.8,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8879964.6,6.0,8879970.6,147999511.0
SM061,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,5.0,8879901.2,177598024.0
SM062,225.6,83.6,172.8,-128.4,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880155.7,5.0,8880160.7,177603213.0
SM063,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879939.9,7.0,8879946.9,126856385.0
SM064,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,5.0,8880624.1,177612482.0
SM065,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,201.6,66.8,-1975.2,4.8,-8882521.7,5.0,8882526.7,177650534.0
SM066,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,201.6,66.8,-1975.2,4.8,-8882521.7,5.0,8882526.7,177650534.0
SM067,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880087.6,5.0,8880092.6,177601851.0
SM068,-165.2,83.6,-550.0,-128.4,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8881295.6,5.0,8881300.6,177626011.0
SM069,225.6,83.6,172.8,19.2,0.0,-36.8,-183.2,339.6,254.4,-15.6,4.8,-8880023.7,5.0,8880028.7,177600575.0
SM070,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,201.6,66.8,252.8,4.8,-8880488.5,6.0,8880494.5,148008241.0
SM071,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0
SM072,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,201.6,66.8,-294.4,4.8,-8880612.3,5.0,8880617.3,177612347.0
SM073,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,201.6,66.8,-294.4,4.8,-8880612.3,5.0,8880617.3,177612347.0
SM074,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,4.0,8879900.2,221997505.0
SM075,225.6,83.6,172.8,88.8,0.0,-36.8,-183.2,339.6,254.4,-15.6,4.8,-8879954.2,5.0,8879959.2,177599183.0
SM076,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8880350.9,5.0,8880355.9,177607118.0
SM077,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8880350.9,5.0,8880355.9,177607118.0
SM078,-165.2,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8881395.1,6.0,8881401.1,148023351.0
SM079,-165.2,83.6,129.2,19.2,0.0,0.4,-183.2,-120.0,66.8,-15.6,4.8,-8881068.5,5.0,8881073.5,177621470.0
SM080,225.6,83.6,129.2,-128.4,0.0,-36.8,-204.4,339.6,393.6,594.4,4.8,-8879487.4,4.0,8879491.4,221987285.0
SM081,-556.4,83.6,129.2,-128.4,0.0,275.6,95.2,-120.0,66.8,-15.6,4.8,-8881054.3,5.0,8881059.3,177621185.0
SM082,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,393.6,1151.2,4.8,-8878680.8,5.0,8878685.8,177573716.0
SM083,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8880174.3,5.0,8880179.3,177603587.0
SM084,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,393.6,594.4,4.8,-8879107.0,5.0,8879112.0,177582239.0
SM085,-556.4,83.6,172.8,-128.4,0.0,0.4,-183.2,201.6,66.8,-15.6,4.8,-8881242.1,6.0,8881248.1,148020802.0
SM086,225.6,83.6,129.2,19.2,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880077.9,5.0,8880082.9,177601659.0
SM087,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,822.8,1151.2,4.8,-8878273.0,6.0,8878279.0,147971317.0
SM088,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,5.0,8879901.2,177598024.0
SM089,225.6,83.6,172.8,19.2,0.0,-36.8,-204.4,339.6,393.6,1114.0,4.8,-8878776.6,5.0,8878781.6,177575632.0
SM090,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,-351.2,-15.6,4.8,-8881184.7,5.0,8881189.7,177623793.0
SM091,225.6,83.6,172.8,19.2,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8880045.1,5.0,8880050.1,177601003.0
SM092,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,822.8,1151.2,4.8,-8878273.0,6.0,8878279.0,147971317.0
SM093,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,822.8,1151.2,4.8,-8878273.0,5.0,8878278.0,177565560.0
SM094,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,5.0,8879901.2,177598024.0
SM095,-6722.8,-1901.2,-550.0,-2088.8,0.0,-36.8,-204.4,-6322.0,-6316.4,-294.4,4.8,-8905320.8,4.0,8905324.8,222633119.0
SM096,-6722.8,83.6,129.2,19.2,0.0,0.4,-204.4,-6480.0,-6316.4,-15.6,4.8,-8900390.6,6.0,8900396.6,148339944.0
SM097,-165.2,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880815.2,5.0,8880820.2,177616403.0
SM098,225.6,83.6,172.8,19.2,0.0,275.6,95.2,339.6,254.4,-15.6,4.8,-8879433.4,5.0,8879438.4,177588768.0
SM099,225.6,-1901.2,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8882534.6,5.0,8882539.6,177650793.0
SM100,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879939.9,6.0,8879945.9,147999099.0
SM101,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,6.0,8879902.2,147998370.0
SM102,225.6,83.6,172.8,19.2,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880034.2,6.0,8880040.2,148000670.0
SM103,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879939.9,6.0,8879945.9,147999099.0
SM104,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879986.6,5.0,8879991.6,177599832.0
SM105,225.6,83.6,172.8,19.2,0.0,0.4,95.2,201.6,66.8,-294.4,4.8,-8880312.8,5.0,8880317.8,177606356.0
SM106,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879986.6,5.0,8879991.6,177599832.0
SM107,225.6,83.6,172.8,-128.4,0.0,0.4,-183.2,339.6,393.6,1151.2,4.8,-8878828.4,5.0,8878833.4,177576668.0
SM108,-556.4,83.6,172.8,-128.4,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8881104.1,5.0,8881109.1,177622182.0
SM109,225.6,83.6,172.8,88.8,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8880104.8,6.0,8880110.8,148001846.0
SM110,225.6,83.6,172.8,19.2,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8880045.1,5.0,8880050.1,177601003.0
SM111,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879631.2,5.0,8879636.2,177592724.0
SM112,225.6,83.6,-550.0,19.2,0.0,0.4,-204.4,339.6,393.6,-15.6,4.8,-8880592.0,5.0,8880597.0,177611941.0
SM113,225.6,83.6,129.2,19.2,0.0,0.4,-204.4,339.6,393.6,-15.6,4.8,-8879912.8,5.0,8879917.8,177598357.0
SM114,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,6.0,8879902.2,147998370.0
SM115,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879631.2,5.0,8879636.2,177592724.0
SM116,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,393.6,-15.6,4.8,-8879847.7,6.0,8879853.7,147997562.0
SM117,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,6.0,8879902.2,147998370.0
SM118,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879939.9,6.0,8879945.9,147999099.0
SM119,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,201.6,254.4,-15.6,4.8,-8880569.4,6.0,8880575.4,148009590.0
SM120,225.6,83.6,-550.0,-128.4,0.0,0.4,-204.4,201.6,66.8,-15.6,4.8,-8881204.3,6.0,8881210.3,148020172.0
SM121,225.6,-1901.2,-550.0,-128.4,0.0,0.4,-204.4,201.6,66.8,-15.6,4.8,-8883189.4,5.0,8883194.4,177663888.0
SM122,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,201.6,254.4,-15.6,4.8,-8880569.4,6.0,8880575.4,148009590.0
SM123,225.6,83.6,-550.0,88.8,0.0,275.6,95.2,339.6,-388.0,-15.6,4.8,-8880729.2,5.0,8880734.2,177614684.0
SM124,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,5.0,8880554.6,177611091.0
SM125,225.6,83.6,129.2,-128.4,0.0,0.4,-204.4,201.6,66.8,-294.4,4.8,-8880803.7,5.0,8880808.7,177616174.0
SM126,225.6,83.6,-550.0,19.2,0.0,-36.8,-204.4,339.6,393.6,-15.6,4.8,-8880629.2,5.0,8880634.2,177612683.0
SM127,225.6,-1901.2,-550.0,-128.4,0.0,275.6,95.2,339.6,-388.0,-294.4,4.8,-8883210.1,5.0,8883215.1,177664301.0
SM128,225.6,-1901.2,-550.0,-128.4,0.0,275.6,95.2,339.6,-388.0,-294.4,4.8,-8883210.1,5.0,8883215.1,177664301.0
SM129,225.6,83.6,129.2,-128.4,0.0,275.6,95.2,201.6,66.8,252.8,4.8,-8879681.9,7.0,8879688.9,126852698.0
SM130,-556.4,83.6,129.2,-128.4,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8882029.9,5.0,8882034.9,177640698.0
SM131,225.6,83.6,172.8,19.2,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8880045.1,5.0,8880050.1,177601003.0
SM132,-5733.6,83.6,-550.0,19.2,0.0,0.4,-204.4,-6480.0,-4588.0,-15.6,4.8,-8898352.5,5.0,8898357.5,177967150.0
SM133,-5733.6,83.6,-550.0,19.2,0.0,0.4,-204.4,-6480.0,-4588.0,-15.6,4.8,-8898352.5,5.0,8898357.5,177967150.0
SM134,-165.2,83.6,-550.0,-128.4,0.0,0.4,95.2,-1829.6,66.8,-15.6,4.8,-8883326.6,6.0,8883332.6,148055543.0
SM135,225.6,-1901.2,-550.0,19.2,0.0,0.4,95.2,201.6,254.4,-15.6,4.8,-8882554.5,6.0,8882560.5,148042675.0
SM136,225.6,83.6,129.2,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8880030.3,5.0,8880035.3,177600707.0
SM137,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879899.8,5.0,8879904.8,177598097.0
SM138,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,-351.2,-15.6,4.8,-8880314.1,5.0,8880319.1,177606382.0
SM139,225.6,83.6,129.2,19.2,0.0,0.4,-204.4,201.6,66.8,-15.6,4.8,-8880377.5,5.0,8880382.5,177607650.0
SM140,225.6,83.6,129.2,19.2,0.0,0.4,-204.4,201.6,66.8,-15.6,4.8,-8880377.5,5.0,8880382.5,177607650.0
SM141,225.6,83.6,129.2,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8880030.3,5.0,8880035.3,177600707.0
SM142,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879899.8,5.0,8879904.8,177598097.0
SM143,-6722.8,83.6,-550.0,-128.4,0.0,-36.8,-183.2,-9173.2,-4628.0,-15.6,4.8,-8902238.4,6.0,8902244.4,148370740.0
SM144,-556.4,83.6,-550.0,-128.4,0.0,275.6,95.2,-820.4,66.8,-15.6,4.8,-8882434.0,5.0,8882439.0,177648780.0
SM145,-6722.8,83.6,-550.0,-128.4,0.0,-36.8,-183.2,-9173.2,-4628.0,-15.6,4.8,-8902238.4,6.0,8902244.4,148370740.0
SM146,225.6,83.6,172.8,-128.4,0.0,-36.8,-204.4,339.6,254.4,-15.6,4.8,-8880192.8,5.0,8880197.8,177603956.0
SM147,-556.4,83.6,-550.0,-128.4,0.0,0.4,-204.4,-1846.8,-388.0,-15.6,4.8,-8884489.7,5.0,8884494.7,177689895.0
SM148,225.6,83.6,172.8,-128.4,0.0,0.4,-204.4,339.6,393.6,-15.6,4.8,-8880016.8,5.0,8880021.8,177600435.0
SM149,225.6,83.6,129.2,19.2,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880077.9,6.0,8880083.9,148001399.0
SM150,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8880156.1,6.0,8880162.1,148002702.0
SM151,225.6,83.6,172.8,19.2,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8880355.8,6.0,8880361.8,148006031.0
SM152,225.6,83.6,2871.6,214.0,0.0,-36.8,-183.2,339.6,2871.6,2890.4,4.8,-8871606.8,4.0,8871610.8,221790269.0
SM153,225.6,83.6,-550.0,-128.4,0.0,0.4,-204.4,-1846.8,66.8,-15.6,4.8,-8883252.9,5.0,8883257.9,177665158.0
SM154,225.6,83.6,-550.0,-128.4,0.0,0.4,-204.4,-1846.8,66.8,-15.6,4.8,-8883252.9,5.0,8883257.9,177665158.0
SM155,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM156,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM157,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM158,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM159,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-351.2,-15.6,4.8,-8881037.0,5.0,8881042.0,177620841.0
SM160,-165.2,83.6,129.2,19.2,0.0,0.4,-204.4,339.6,-1607.6,-15.6,4.8,-8882304.6,6.0,8882310.6,148038510.0
SM161,225.6,-1901.2,-550.0,19.2,0.0,0.4,95.2,201.6,254.4,-15.6,4.8,-8882554.5,5.0,8882559.5,177651190.0
SM162,225.6,83.6,-550.0,-2088.8,0.0,0.4,95.2,339.6,254.4,594.4,4.8,-8881929.0,4.0,8881933.0,222048324.0
SM163,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880766.8,6.0,8880772.8,148012879.0
SM164,225.6,83.6,172.8,384.8,0.0,-36.8,-204.4,339.6,66.8,-294.4,4.8,-8880145.8,5.0,8880150.8,177603016.0
SM165,225.6,83.6,172.8,384.8,0.0,-36.8,-204.4,339.6,66.8,-294.4,4.8,-8880145.8,5.0,8880150.8,177603016.0
SM166,225.6,83.6,172.8,-128.4,0.0,0.4,-204.4,201.6,254.4,-15.6,4.8,-8880293.7,5.0,8880298.7,177605973.0
SM167,-165.2,83.6,129.2,19.2,0.0,0.4,-204.4,-120.0,66.8,-15.6,4.8,-8881089.9,5.0,8881094.9,177621898.0
SM168,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,-120.0,66.8,-294.4,4.8,-8881505.0,4.0,8881509.0,222037724.0
SM169,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8882170.1,6.0,8882176.1,148036269.0
SM170,225.6,83.6,172.8,-128.4,0.0,0.4,-183.2,339.6,433.6,1151.2,4.8,-8878788.2,5.0,8878793.2,177575865.0
SM171,225.6,-1901.2,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-5541.2,4.8,-8888277.4,4.0,8888281.4,222207034.0
SM172,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879752.2,6.0,8879758.2,147995970.0
SM173,225.6,83.6,129.2,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879752.2,6.0,8879758.2,147995970.0
SM174,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880757.1,6.0,8880763.1,148012719.0
SM175,225.6,83.6,172.8,19.2,0.0,0.4,95.2,201.6,66.8,-440.4,4.8,-8880458.7,5.0,8880463.7,177609274.0
SM176,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881226.4,5.0,8881231.4,177624628.0
SM177,225.6,83.6,172.8,19.2,0.0,0.4,95.2,201.6,66.8,-440.4,4.8,-8880458.7,5.0,8880463.7,177609274.0
SM178,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,-1607.6,-15.6,4.8,-8881570.5,6.0,8881576.5,148026276.0
SM179,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,-351.2,-15.6,4.8,-8880967.5,5.0,8880972.5,177619449.0
SM180,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879682.6,5.0,8879687.6,177593753.0
SM181,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879682.6,5.0,8879687.6,177593753.0
SM182,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,393.6,594.4,4.8,-8879258.9,5.0,8879263.9,177585278.0
SM183,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,5.0,8880554.6,177611091.0
SM184,-165.2,83.6,129.2,-128.4,0.0,0.4,-183.2,339.6,-388.0,-15.6,4.8,-8881211.2,5.0,8881216.2,177624325.0
SM185,-165.2,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,-388.0,-15.6,4.8,-8881019.9,6.0,8881025.9,148017098.0
SM186,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880008.0,5.0,8880013.0,177600260.0
