OAM,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
SM039,486,498,382,480,478,108,65,488,454,475,242,4
SM040,382,177,194,17,136,226,418,177,295,85,121,5
SM041,382,177,194,17,136,226,418,177,295,85,121,5
SM042,182,332,231,100,323,324,266,193,204,458,403,4
SM043,354,196,312,128,488,135,20,302,156,59,121,6
SM044,247,386,293,237,82,151,98,302,252,14,161,5
SM045,447,397,451,399,10,18,7,393,443,444,300,5
SM046,500,231,345,271,17,135,365,492,500,371,9,4
SM047,321,487,159,237,450,393,463,270,196,158,434,5
SM048,194,33,94,461,449,226,206,284,196,335,300,5
SM049,475,121,284,461,60,18,12,437,303,371,434,5
SM050,487,42,189,489,136,226,435,465,280,335,434,5
SM051,182,386,252,443,136,9,98,263,72,148,434,5
SM052,464,231,427,237,82,135,28,452,392,257,352,6
SM053,464,213,427,271,77,51,20,456,378,243,352,6
SM054,203,95,194,77,232,460,465,270,139,371,352,5
SM055,343,229,345,100,440,473,394,456,101,257,170,6
SM056,321,345,427,47,269,417,262,177,303,429,300,5
SM057,109,146,66,57,90,9,2,263,16,257,283,5
SM058,354,360,357,30,444,496,457,133,204,129,352,5
SM059,290,306,328,210,166,324,317,207,417,320,200,5
SM060,382,106,220,185,136,151,266,393,396,412,352,6
SM061,182,121,174,237,202,363,307,157,422,243,434,5
SM062,321,420,116,399,453,372,460,302,156,173,403,5
SM063,354,231,340,356,284,226,194,302,366,275,300,7
SM064,420,448,418,302,232,253,317,344,378,354,242,5
SM065,397,442,418,32,295,9,7,393,396,498,84,5
SM066,397,442,418,32,295,9,7,393,396,498,84,5
SM067,354,231,370,480,202,202,228,302,404,335,283,5
SM068,464,432,401,461,166,51,28,393,422,335,105,5
SM069,150,49,66,302,136,435,365,284,226,114,105,5
SM070,260,432,418,356,136,135,65,393,303,42,121,6
SM071,321,360,391,356,166,286,137,335,280,412,300,6
SM072,321,397,284,271,323,324,435,393,280,475,300,5
SM073,321,420,293,356,269,352,430,415,268,475,300,5
SM074,225,408,252,271,269,202,253,193,268,429,434,4
SM075,129,49,81,164,379,444,411,125,226,90,283,5
SM076,182,132,38,237,371,151,242,108,468,219,121,5
SM077,182,132,38,237,371,151,242,108,468,219,121,5
SM078,447,469,466,185,423,271,169,344,461,395,105,6
SM079,459,457,357,302,295,226,404,437,366,444,183,5
SM080,225,357,312,480,211,435,465,238,86,19,476,4
SM081,481,177,312,461,82,1,28,437,396,371,434,5
SM082,290,155,11,356,497,393,375,213,65,10,352,5
SM083,368,213,136,302,295,380,394,270,335,354,476,5
SM084,382,397,252,399,495,308,304,284,86,16,352,5
SM085,478,36,124,399,82,352,345,426,422,123,161,6
SM086,433,269,345,237,166,363,232,415,396,320,183,5
SM087,203,196,243,356,440,372,489,238,3,3,221,6
SM088,321,196,252,356,40,151,175,344,378,243,283,5
SM089,150,106,151,271,435,475,477,177,67,13,300,5
SM090,420,345,391,399,166,135,111,177,443,429,485,5
SM091,273,231,252,356,202,494,491,367,178,412,300,5
SM092,203,196,243,356,440,372,489,238,3,3,221,6
SM093,203,196,238,302,440,363,485,238,3,2,242,5
SM094,321,196,252,356,40,151,175,344,378,243,283,5
SM095,498,494,427,489,2,493,413,489,498,475,121,4
SM096,499,318,335,210,27,324,452,494,499,305,15,6
SM097,447,465,466,77,416,135,98,359,430,371,105,5
SM098,420,213,266,302,90,1,91,384,196,257,434,5
SM099,343,486,408,164,202,18,2,335,378,371,242,5
SM100,247,265,328,356,211,253,194,238,252,320,485,6
SM101,225,332,231,271,269,202,298,238,392,288,170,6
SM102,290,213,231,356,154,135,91,426,268,371,152,6
SM103,247,265,328,356,211,253,194,238,252,320,485,6
SM104,247,295,293,271,181,226,365,335,244,458,434,5
SM105,397,196,276,237,90,18,205,422,295,475,352,5
SM106,247,295,293,271,181,226,365,335,244,458,434,5
SM107,290,132,17,443,498,352,384,228,40,9,403,5
SM108,481,360,220,443,323,286,363,284,432,114,403,5
SM109,260,58,85,164,357,352,404,193,349,103,283,6
SM110,247,469,94,302,465,486,499,284,156,199,403,5
SM111,290,278,322,399,423,226,271,367,126,44,300,5
SM112,215,345,382,237,269,202,454,367,72,219,242,5
SM113,215,318,376,237,284,271,459,367,72,219,242,5
SM114,115,42,151,210,211,393,266,89,280,210,268,6
SM115,290,278,322,399,423,226,271,367,126,44,300,5
SM116,144,121,220,237,345,253,349,344,35,257,121,6
SM117,225,259,243,356,181,202,232,177,378,288,200,6
SM118,290,278,357,302,244,108,151,270,349,462,352,6
SM119,182,269,427,237,460,271,327,393,156,305,84,6
SM120,420,420,391,399,394,393,423,426,303,412,434,6
SM121,382,496,382,443,481,172,423,393,252,354,485,5
SM122,182,269,427,237,460,271,327,393,156,305,84,6
SM123,382,426,466,164,154,1,16,157,451,444,434,5
SM124,260,437,466,128,211,202,187,193,422,429,300,5
SM125,290,213,335,461,244,380,446,422,378,475,300,5
SM126,166,345,427,356,473,435,425,125,86,185,352,5
SM127,239,499,466,443,232,1,12,367,466,467,84,5
SM128,247,499,466,399,244,1,12,367,468,475,84,5
SM129,260,306,340,399,54,1,39,393,404,49,121,7
SM130,483,95,345,399,115,51,65,456,404,354,352,5
SM131,260,454,69,302,457,460,486,302,189,219,352,5
SM132,487,213,382,210,8,324,440,490,489,257,10,5
SM133,487,213,382,210,8,324,440,490,489,257,10,5
SM134,464,213,462,480,34,324,130,469,392,335,242,6
SM135,273,495,418,237,269,253,162,426,166,395,221,6
SM136,215,454,370,356,345,308,354,359,126,90,283,5
SM137,225,439,345,399,333,172,307,302,178,129,300,5
SM138,397,143,194,302,232,253,262,238,443,243,434,5
SM139,290,278,322,271,232,286,450,393,295,412,300,5
SM140,290,278,322,302,232,324,454,393,280,412,300,5
SM141,215,454,370,356,345,308,354,359,126,90,283,5
SM142,225,439,345,399,333,172,307,302,178,129,300,5
SM143,494,63,466,399,10,435,354,498,493,114,1,6
SM144,478,106,391,443,60,1,76,465,303,335,352,5
SM145,494,63,466,399,10,435,354,498,493,114,1,6
SM146,247,397,74,399,455,467,492,302,101,275,352,5
SM147,485,410,451,399,308,380,430,486,468,444,200,5
SM148,343,196,252,461,485,172,421,302,52,103,403,5
SM149,433,196,376,210,136,226,169,426,404,335,170,6
SM150,239,121,151,100,333,202,253,207,466,288,121,6
SM151,382,58,136,271,181,18,7,437,295,429,161,6
SM152,157,231,1,57,499,467,384,52,1,1,352,4
SM153,354,318,442,399,383,417,440,477,322,412,183,5
SM154,354,318,442,399,383,417,440,477,322,412,183,5
SM155,408,155,160,24,90,451,482,228,404,166,121,5
SM156,408,155,160,24,103,444,480,228,404,173,121,5
SM157,408,155,160,24,90,451,482,228,404,166,121,5
SM158,408,155,160,24,103,444,480,228,404,173,121,5
SM159,408,410,466,237,124,226,91,284,443,462,403,5
SM160,447,318,328,356,202,352,415,302,483,354,403,6
SM161,343,488,442,302,345,108,76,426,139,371,283,5
SM162,343,410,451,496,115,151,76,359,101,22,434,4
SM163,290,247,427,443,166,324,175,367,295,371,200,6
SM164,368,318,252,8,90,484,470,136,349,467,352,5
SM165,382,306,252,9,90,478,470,149,349,467,352,5
SM166,290,360,124,443,409,271,435,415,126,275,300,5
SM167,447,374,376,271,284,352,445,452,303,444,170,5
SM168,382,269,442,461,115,324,242,452,349,475,485,4
SM169,447,360,401,271,333,202,258,467,437,395,152,6
SM170,354,432,276,399,493,286,354,367,9,6,300,5
SM171,273,485,442,399,27,9,1,238,335,500,476,4
SM172,260,146,335,302,124,51,51,238,244,288,434,6
SM173,260,146,335,302,124,51,51,238,244,288,434,6
SM174,368,345,418,356,77,410,242,415,404,354,48,6
SM175,382,95,304,302,211,108,194,415,295,485,300,5
SM176,433,213,427,480,284,363,285,437,322,123,300,5
SM177,382,95,304,302,211,108,194,415,295,485,300,5
SM178,354,231,160,210,308,135,219,238,480,288,121,6
SM179,420,473,466,164,77,108,76,284,443,371,283,5
SM180,182,332,352,185,71,172,242,284,126,320,300,5
SM181,182,332,352,185,71,172,242,284,126,320,300,5
SM182,170,332,116,302,487,400,457,238,58,32,403,5
SM183,397,447,451,164,166,308,242,238,422,444,403,5
SM184,447,332,312,399,181,202,365,263,468,335,403,5
SM185,459,345,304,356,202,135,349,270,461,335,403,6
SM186,170,42,66,302,444,426,413,263,204,429,268,5
SM187,368,106,124,302,244,271,375,238,303,395,434,5
SM188,321,432,376,128,269,151,130,193,378,467,268,5
SM189,273,213,209,302,269,286,493,302,139,395,300,5
SM190,273,196,214,356,244,324,494,302,139,395,300,5
SM191,239,213,203,92,181,380,479,193,178,275,352,5
SM192,475,85,266,356,136,380,285,213,476,275,242,6
SM193,447,360,357,47,407,308,478,284,226,288,300,5
SM194,343,269,304,237,103,108,151,367,226,395,268,5
SM195,343,269,304,237,103,108,151,367,226,395,268,5
SM196,290,306,209,302,136,410,468,302,196,412,352,5
SM197,382,298,231,185,136,286,324,302,432,320,170,5
SM198,50,36,54,302,71,226,137,149,52,36,183,6
SM199,492,478,391,498,5,253,429,496,476,79,10,7
SM200,433,497,408,271,38,226,175,482,456,495,55,4
SM201,131,49,136,489,24,151,111,283,166,90,161,7
SM202,182,85,124,271,394,489,496,207,16,31,403,5
SM203,447,213,370,480,154,308,285,464,335,114,300,5
SM204,420,146,203,461,323,308,228,415,303,395,434,5
SM205,420,155,194,461,333,271,206,411,303,371,434,6
SM206,12,36,6,128,383,151,151,64,139,129,94,7
SM207,12,36,6,128,383,151,151,64,139,129,94,7
SM208,290,290,220,399,82,426,468,390,244,429,403,5
SM209,290,171,243,117,409,352,433,344,166,210,352,5
SM210,69,36,62,271,17,108,65,157,268,67,121,7
SM211,129,247,54,302,1,18,65,436,252,74,25,6
SM212,260,442,276,100,259,172,349,296,322,371,200,6
SM213,45,171,38,271,29,18,28,157,156,210,170,6
SM214,239,290,252,237,34,444,365,426,252,495,183,5
SM215,290,448,391,185,365,172,236,213,189,173,242,6
SM216,420,196,116,21,34,426,470,213,303,138,121,5
SM217,194,357,340,302,414,253,285,393,67,354,69,5
SM218,247,442,293,237,115,202,236,335,335,395,476,5
SM219,354,196,322,356,166,172,258,447,378,412,268,5
SM220,290,247,209,185,211,410,494,358,252,305,300,5
SM221,290,63,189,302,244,410,333,367,303,320,352,6
SM222,368,247,252,302,414,308,390,447,72,354,352,5
SM223,447,332,427,480,26,18,2,468,404,305,300,5
SM224,203,375,266,302,259,135,151,147,226,305,200,6
SM225,215,372,194,302,333,286,324,212,268,354,152,4
SM226,321,155,266,128,124,451,354,411,349,335,121,6
SM227,170,306,109,302,489,435,406,367,16,5,300,6
SM228,166,475,352,128,333,151,98,125,378,257,242,5
SM229,321,155,266,128,124,451,354,411,349,335,121,6
SM230,433,231,266,128,232,172,206,296,432,462,69,5
SM231,494,192,427,461,17,363,452,495,468,275,29,7
SM232,260,95,408,399,195,226,285,390,349,444,221,6
SM233,212,85,312,100,345,352,333,157,303,185,283,6
SM234,433,231,266,128,232,172,206,296,432,462,69,5
SM235,239,492,382,210,54,108,206,296,280,395,485,6
SM236,397,360,466,356,394,271,219,330,349,335,485,6
SM237,397,360,466,356,394,271,219,330,349,335,485,6
SM238,397,375,466,356,394,286,228,330,349,335,434,6
SM239,397,360,466,356,394,271,219,330,349,335,485,6
SM240,239,492,382,210,54,108,206,296,280,395,485,6
SM241,170,372,189,443,486,18,349,263,9,21,403,5
SM242,31,95,69,271,371,51,111,80,67,173,84,6
SM243,321,298,376,399,416,444,456,450,40,467,242,6
SM244,2,6,151,237,154,172,111,33,35,81,434,7
SM245,2,6,151,237,154,172,111,33,35,81,434,7
SM246,382,386,466,302,269,51,98,133,486,40,221,6
SM247,408,410,401,356,154,308,304,296,366,444,300,5
SM248,239,318,335,210,115,202,394,384,139,492,403,5
SM249,321,247,408,443,136,151,228,411,322,475,242,6
SM250,382,386,466,302,269,51,98,133,486,40,221,6
SM251,75,49,151,461,45,308,206,123,166,123,200,6
SM252,408,318,466,399,136,308,187,238,437,185,221,6
SM253,66,72,124,75,345,18,83,108,101,429,121,5
SM254,321,465,160,356,365,135,415,426,178,320,300,5
SM255,408,318,466,399,136,308,187,238,437,185,221,6
SM256,260,290,284,67,124,324,465,330,204,354,403,5
SM257,144,63,189,237,154,18,16,157,166,275,434,5
SM258,464,426,466,271,154,226,327,302,451,210,434,5
SM259,321,132,3,399,500,135,262,302,29,12,352,5
SM260,116,42,136,128,284,271,185,51,335,103,121,7
SM261,273,58,284,443,181,352,262,390,244,231,403,5
SM262,420,491,427,302,308,226,375,450,322,305,352,4
SM263,260,231,442,443,90,172,194,446,303,354,200,5
SM264,273,85,284,399,181,400,285,384,226,210,403,5
SM265,20,278,116,185,52,18,137,40,40,70,84,5
SM266,44,15,94,399,103,51,2,302,139,166,170,7
SM267,247,483,466,65,390,426,345,24,484,166,242,4
SM268,273,72,145,54,195,286,206,228,322,74,17,8
SM269,433,259,427,77,181,108,137,100,496,53,352,6
SM270,50,1,102,40,423,9,98,52,226,36,183,6
SM271,273,265,408,40,308,435,345,359,335,210,105,6
SM272,50,1,102,40,423,9,98,52,226,36,183,6
SM273,72,85,62,40,103,324,365,77,166,123,183,5
SM274,215,439,312,185,166,172,219,226,268,243,352,5
SM275,354,380,328,10,323,435,430,83,366,129,352,5
SM276,273,265,408,40,308,435,345,359,335,210,105,6
SM277,433,259,427,77,181,108,137,100,496,53,352,6
SM278,50,1,102,40,423,9,98,52,226,36,183,6
SM279,100,49,148,13,124,18,16,193,178,90,20,8
SM280,170,121,214,21,308,172,271,84,366,129,121,7
SM281,60,15,151,54,103,51,65,108,58,90,403,6
SM282,321,22,17,56,492,18,2,238,196,22,221,7
SM283,343,231,357,77,71,226,312,263,335,354,476,5
SM284,170,121,214,21,308,172,271,84,366,129,121,7
SM285,122,306,401,57,416,467,387,29,268,173,242,5
SM286,122,306,401,57,416,467,387,29,268,173,242,5
SM287,31,177,74,302,124,417,285,47,45,138,161,6
SM288,354,121,357,77,365,451,312,335,349,185,161,6
SM289,194,231,382,164,357,372,285,193,303,74,113,7
SM290,45,146,85,65,429,473,438,13,139,42,434,5
SM291,194,231,382,164,357,372,285,193,303,74,113,7
SM292,69,5,124,302,491,51,51,170,252,173,121,5
SM293,92,269,284,117,357,352,279,64,166,243,161,6
SM294,433,78,266,185,403,18,39,367,396,305,183,6
SM295,10,63,94,67,379,324,312,8,22,100,300,6
SM296,75,213,145,164,124,18,137,31,22,243,300,5
SM297,81,477,189,128,295,426,386,149,86,444,221,5
SM298,408,360,408,302,259,135,162,122,491,158,283,5
SM299,397,380,451,210,379,18,175,78,491,103,268,5
SM300,433,397,408,271,211,135,185,124,493,173,283,5
SM301,354,247,408,128,295,372,258,359,366,320,105,6
SM302,66,1,124,480,77,108,28,228,166,243,183,6
SM303,225,432,357,128,365,226,151,64,456,166,200,5
SM304,368,397,357,461,482,18,83,422,378,412,300,5
SM305,215,380,54,271,447,226,425,228,139,444,434,5
SM306,100,247,124,164,45,51,123,41,58,320,403,6
SM307,343,345,214,237,244,108,317,344,335,444,352,5
SM308,100,132,160,185,483,51,20,64,126,275,300,6
SM309,100,155,151,185,484,18,12,64,126,257,300,6
SM310,368,33,187,443,40,151,169,302,396,429,300,6
SM311,100,247,124,164,45,51,123,41,58,320,403,6
SM312,273,247,276,302,115,286,450,422,222,412,352,6
SM313,166,185,220,100,371,363,438,147,280,257,300,6
SM314,203,191,231,77,166,460,488,193,252,429,352,5
SM315,368,78,238,128,308,426,390,366,378,204,69,5
SM316,408,72,238,164,390,372,312,393,404,231,69,6
SM317,131,278,284,57,416,486,428,52,252,231,183,5
SM318,131,462,357,92,244,460,398,106,252,243,152,6
SM319,126,386,180,67,259,380,336,87,349,173,48,7
SM320,131,462,357,92,244,460,398,106,252,243,152,6
SM321,126,386,180,67,259,380,336,87,349,173,48,7
SM322,150,332,252,57,345,417,418,46,189,275,268,5
SM323,290,345,418,210,202,51,51,226,244,257,403,5
SM324,100,306,160,100,345,478,394,86,226,185,300,6
SM325,116,196,312,2,103,253,298,6,86,199,434,6
SM326,116,196,312,2,103,253,298,6,86,199,434,6
SM327,45,247,25,53,463,51,20,177,22,148,48,7
SM328,100,171,109,34,435,18,16,157,226,85,48,5
SM329,9,22,51,128,244,51,83,25,86,210,268,6
SM330,77,185,180,302,38,108,28,149,117,275,300,5
SM331,109,78,38,92,465,172,236,157,178,219,21,6
SM332,109,78,38,92,465,172,236,157,178,219,21,6
SM333,260,298,243,67,60,380,463,228,166,412,352,6
SM334,215,278,391,271,429,308,258,437,65,444,69,5
SM335,273,380,462,164,195,324,219,384,303,148,40,7
SM336,35,426,85,57,472,108,83,81,101,81,29,7
SM337,170,155,148,356,14,51,39,482,322,185,21,6
SM338,290,155,214,100,211,451,333,213,268,243,161,5
SM339,26,196,62,77,421,444,440,15,86,33,48,6
SM340,20,27,81,210,244,226,162,47,52,8,242,7
SM341,29,63,109,185,60,172,83,35,58,15,434,6
SM342,81,146,124,117,54,18,51,238,156,70,58,6
SM343,72,106,136,399,457,51,20,136,252,143,242,6
SM344,72,106,136,399,457,51,20,136,252,143,242,6
SM345,35,290,109,128,244,51,182,17,58,123,105,6
SM346,420,416,466,356,71,490,354,170,484,100,221,5
SM347,464,474,451,117,115,324,187,456,480,63,26,7
SM348,5,196,23,77,371,51,28,108,14,44,32,6
SM349,131,278,220,100,333,286,266,170,52,49,200,6
SM350,161,469,466,128,371,202,151,64,335,74,352,6
SM351,77,397,293,117,435,324,187,19,226,35,221,6
SM352,161,472,466,128,390,202,130,64,322,85,352,6
SM353,321,395,466,185,345,135,65,213,222,158,403,5
SM354,8,247,2,31,462,400,401,5,117,129,10,5
SM355,483,6,174,489,60,492,500,500,196,320,35,6
SM356,459,457,462,185,195,324,182,456,474,288,17,6
SM357,50,132,94,77,211,451,324,31,204,67,69,5
SM358,88,146,25,91,454,226,162,270,189,143,40,7
SM359,35,155,25,75,439,172,98,35,72,79,152,7
SM360,18,95,25,128,323,172,236,13,101,204,242,6
SM361,239,429,284,302,407,271,406,228,126,185,352,5
SM362,203,177,220,128,295,380,298,136,349,53,221,6
SM363,35,298,25,164,115,51,206,81,22,371,200,5
SM364,20,185,44,302,103,51,28,89,8,70,170,5
SM365,12,341,25,19,259,108,242,3,35,158,200,7
SM366,116,146,109,57,435,108,83,170,204,44,36,6
SM367,12,341,25,19,259,108,242,3,35,158,200,7
SM368,92,295,52,128,166,202,111,35,86,199,485,5
SM369,100,63,94,100,476,286,400,41,117,243,352,5
SM370,144,22,85,185,136,51,51,393,139,17,32,7
SM371,433,460,451,210,45,478,354,207,476,123,221,5
SM372,273,11,174,461,24,202,123,335,280,70,500,6
SM373,161,27,124,399,71,426,266,335,280,30,113,6
SM374,368,269,293,237,432,226,390,426,22,257,434,5
SM375,4,132,44,47,333,51,271,8,12,100,94,6
SM376,50,259,10,36,470,51,28,125,12,85,36,7
SM377,50,177,109,77,195,363,271,23,204,20,69,6
SM378,144,22,85,185,136,51,51,393,139,17,32,7
SM379,60,357,25,14,323,51,111,89,52,34,7,6
SM380,225,146,187,164,379,410,340,170,268,185,94,6
SM381,225,15,160,302,211,202,137,213,156,103,352,6
SM382,6,143,17,92,284,324,253,8,29,103,200,6
SM383,225,15,160,302,211,202,137,213,156,103,352,6
SM384,225,15,160,302,211,202,137,213,156,103,352,6
SM385,321,229,243,271,308,400,317,157,404,148,434,5
SM386,368,360,401,185,345,202,206,170,417,138,268,6
SM387,290,259,252,302,323,400,279,149,396,148,434,6
SM388,225,386,345,356,202,324,242,238,268,412,283,6
SM389,290,185,252,356,323,400,312,149,417,148,434,6
SM390,131,95,220,164,390,308,285,136,126,185,200,7
SM391,487,482,418,489,2,226,421,496,475,90,15,8
SM392,6,143,17,92,284,324,253,8,29,103,200,6
SM393,140,85,94,302,244,51,130,157,117,458,300,5
SM394,215,395,52,302,447,253,433,270,86,412,476,5
SM395,17,318,35,210,45,51,123,47,15,354,221,5
SM396,31,85,3,38,60,108,219,19,166,305,10,7
SM397,464,448,451,6,465,499,474,64,437,429,221,5
SM398,50,306,59,128,308,253,285,89,117,231,69,6
SM399,50,306,59,128,308,253,285,89,117,231,69,6
SM400,194,460,293,210,52,151,242,384,45,395,352,5
SM401,464,448,451,6,465,499,474,64,437,429,221,5
SM402,321,15,231,443,29,372,219,480,244,485,94,6
SM403,29,192,81,128,284,363,363,35,45,288,121,6
SM404,60,318,116,117,284,172,236,64,72,257,121,6
SM405,321,420,418,117,154,286,137,213,204,288,476,5
SM406,194,42,145,489,29,202,123,344,335,138,183,6
SM407,126,171,136,164,45,151,151,149,189,231,94,6
SM408,31,106,25,77,371,226,169,52,117,257,94,7
SM409,92,63,62,51,479,51,39,270,126,185,58,6
SM410,20,185,116,34,90,426,285,149,22,354,283,4
SM411,166,155,207,164,211,426,415,100,366,275,300,6
SM412,161,177,203,185,211,400,403,100,366,275,300,5
SM413,408,448,340,356,409,286,401,344,222,243,403,5
SM414,122,121,85,11,394,51,65,108,222,90,40,7
SM415,182,231,207,117,308,410,473,136,204,288,300,5
SM416,203,442,276,12,455,465,486,8,280,25,403,5
SM417,81,192,38,237,444,51,76,270,204,219,40,6
SM418,420,298,357,356,357,475,474,452,422,475,121,5
SM419,35,95,102,302,463,108,76,52,189,138,152,6
SM420,447,462,466,399,60,475,307,193,488,204,221,5
SM421,140,278,209,185,333,478,375,238,226,158,36,7
SM422,464,479,442,210,29,467,279,469,461,371,26,7
SM423,321,489,312,302,6,286,340,456,335,493,84,5
SM424,88,11,136,271,60,51,111,177,72,59,69,7
SM425,321,489,312,302,6,286,340,456,335,493,84,5
SM426,464,479,442,210,29,467,279,469,461,371,26,7
SM427,475,397,391,271,2,363,279,480,451,467,55,6
SM428,140,468,293,356,181,51,182,89,204,371,113,6
SM429,161,231,209,496,90,151,169,177,189,305,403,5
SM430,12,479,44,185,323,253,194,47,45,305,152,6
SM431,88,11,136,271,60,51,111,177,72,59,69,7
SM432,290,269,203,237,136,380,374,213,196,371,434,5
SM433,35,85,13,210,195,226,111,437,9,231,17,6
SM434,27,106,44,210,357,51,51,19,86,467,300,5
SM435,92,132,74,67,166,393,317,52,72,63,221,6
SM436,27,106,44,210,357,51,51,19,86,467,300,5
SM437,260,397,231,302,34,488,349,437,204,371,170,6
SM438,66,177,8,67,60,51,91,108,101,219,62,6
SM439,92,132,74,67,166,393,317,52,72,63,221,6
SM440,420,345,328,480,40,108,298,476,40,305,403,5
SM441,18,42,9,237,115,51,162,100,2,90,242,8
SM442,35,121,35,270,77,108,137,89,29,204,58,6
SM443,1,416,3,51,409,51,253,1,6,204,62,7
SM444,116,171,116,117,181,202,65,384,178,257,45,7
SM445,493,290,462,443,17,18,137,492,476,81,21,7
SM446,140,448,376,271,202,51,175,108,178,371,183,6
SM447,20,95,54,128,232,465,390,52,45,158,121,5
SM448,150,192,238,271,471,51,39,302,166,166,62,5
SM449,203,247,293,302,409,108,137,335,139,371,170,6
SM450,35,106,13,100,383,324,194,64,45,288,94,6
SM451,35,106,13,100,383,324,194,64,45,288,94,6
SM452,215,85,85,399,496,151,130,170,29,26,476,6
SM453,447,278,442,443,269,352,194,302,422,257,200,6
SM454,92,58,44,100,269,18,91,41,204,148,62,7
SM455,420,10,174,461,45,380,375,469,454,257,67,5
SM456,64,345,23,29,295,51,65,89,166,199,4,8
SM457,170,306,180,210,383,18,91,108,349,335,161,5
SM458,157,360,304,117,394,451,365,89,226,335,283,5
SM459,92,58,44,100,269,18,91,41,204,148,62,7
SM460,45,298,25,237,136,172,271,15,196,354,485,3
SM461,157,155,94,210,259,271,98,193,322,288,58,6
SM462,225,341,293,128,308,51,65,136,204,288,403,5
SM463,69,15,17,163,284,172,123,270,117,288,36,5
SM464,247,386,11,237,403,417,482,238,40,429,485,5
SM465,50,48,81,271,269,18,28,100,7,185,434,6
SM466,116,33,174,92,403,172,130,17,443,53,268,5
SM467,100,213,160,302,82,380,304,136,86,166,48,6
SM468,182,185,148,128,54,108,51,484,280,114,1,6
SM469,60,78,13,271,345,51,83,35,101,275,434,6
SM470,194,475,451,498,90,484,279,469,139,335,242,5
SM471,11,49,35,128,371,286,271,52,22,288,113,5
SM472,131,259,160,185,232,417,307,270,139,173,55,6
SM473,20,85,74,128,259,417,383,63,72,90,152,6
SM474,122,72,74,271,40,18,20,263,204,114,113,5
SM475,88,27,102,443,211,172,111,136,139,63,352,6
SM476,131,410,276,237,308,18,151,89,67,305,170,5
SM477,150,22,173,302,357,51,39,157,226,185,268,5
SM478,92,11,116,399,154,51,76,192,117,26,69,6
SM479,131,410,276,237,308,18,151,89,67,305,170,5
SM480,144,416,370,117,181,51,175,125,126,185,183,6
SM481,81,27,180,1,82,51,98,2,58,219,434,5
SM482,144,36,69,100,211,51,48,367,72,49,40,8
SM483,81,78,59,237,474,51,51,108,16,29,352,5
SM484,81,78,54,237,474,108,51,108,16,26,352,5
SM485,81,171,17,39,450,51,111,270,29,219,4,6
SM486,109,397,180,356,17,51,48,193,101,485,200,5
SM487,109,397,180,356,17,51,48,193,101,485,200,5
SM488,109,375,194,399,16,18,20,136,101,497,200,6
SM489,45,49,74,100,232,478,375,25,280,49,94,7
SM490,150,106,174,128,124,172,130,125,303,143,170,6
SM491,150,465,251,100,195,410,327,125,268,210,113,6
SM492,157,132,109,164,23,226,123,469,303,114,7,7
SM493,170,121,102,128,14,253,137,477,280,59,4,7
SM494,194,420,220,77,295,400,406,25,443,148,45,6
SM495,474,106,284,5,13,444,427,469,422,395,31,6
SM496,77,72,85,128,90,18,39,238,72,231,69,8
SM497,290,231,266,356,232,271,219,125,417,231,485,6
